original_name,german_translation,meaning
Sphere Space Signals Commons,Sphärenraum Signale Commons,"Ein Name, der auf 'Signale Commons' im Sphärenraum hinweist."
Sphere Space Terran Highway,Sphärenraum Terranischer Autobahn,"Ein Name, der auf 'Terranischer Autobahn' im Sphärenraum hinweist."
Sphere Space Public Courts,Sphärenraum Öffentliche Gerichte,"Ein Name, der auf 'Öffentliche Gerichte' im Sphärenraum hinweist."
Sphere Space Safe Square,Sphärenraum Sicheres Quadrat,"Ein Name, der auf 'Sicheres Quadrat' im Sphärenraum hinweist."
Sphere Space Next Beacon,Sphärenraum Nächstes Leuchtfeuer,"Ein Name, der auf 'Nächstes Leuchtfeuer' im Sphärenraum hinweist."
Sphere Space Signals,Sphärenraum Signale,"Ein Name, der auf 'Signale' im Sphärenraum hinweist."
Sphere Space Earthborn Arboretum,Sphärenraum Earthborn Arboretum,"Ein Name, der auf 'Earthborn Arboretum' im Sphärenraum hinweist."
Sphere Space Open Lanes,Sphärenraum Offene Gassen,"Ein Name, der auf 'Offene Gassen' im Sphärenraum hinweist."
Sphere Space Eternal Ledgers,Sphärenraum Ewige Ledger,"Ein Name, der auf 'Ewige Ledger' im Sphärenraum hinweist."
Sphere Space Node Foundation,Sphärenraum Node Foundation,"Ein Name, der auf 'Node Foundation' im Sphärenraum hinweist."
Sphere Space Rings Alliance,Sphärenraum Ringe Allianz,"Ein Name, der auf 'Ringe Allianz' im Sphärenraum hinweist."
Sphere Space Solar Passage,Sphärenraum Solarpassage,"Ein Name, der auf 'Solarpassage' im Sphärenraum hinweist."
Sphere Space Universal Yard,Sphärenraum Universal Hof,"Ein Name, der auf 'Universal Hof' im Sphärenraum hinweist."
Sphere Space Resilient Shipyard,Sphärenraum Resiliente Werft,"Ein Name, der auf 'Resiliente Werft' im Sphärenraum hinweist."
Sphere Space Free Gallery,Sphärenraum Kostenlose Galerie,"Ein Name, der auf 'Kostenlose Galerie' im Sphärenraum hinweist."
Sphere Space Silver Journeys,Sphärenraum Silberfahrten,"Ein Name, der auf 'Silberfahrten' im Sphärenraum hinweist."
Sphere Space Civic Academy,Sphärenraum Civic Academy,"Ein Name, der auf 'Civic Academy' im Sphärenraum hinweist."
Sphere Space Enduring Passage,Sphärenraum Dauerübergreifend,"Ein Name, der auf 'Dauerübergreifend' im Sphärenraum hinweist."
Sphere Space Lasting Havens,Sphärenraum Dauerhafte Häfen,"Ein Name, der auf 'Dauerhafte Häfen' im Sphärenraum hinweist."
Sphere Space Perennial Foundation,Sphärenraum Mehrjährige Stiftung,"Ein Name, der auf 'Mehrjährige Stiftung' im Sphärenraum hinweist."
Sphere Space Silver Corridors,Sphärenraum Silberkorridore,"Ein Name, der auf 'Silberkorridore' im Sphärenraum hinweist."
Sphere Space Safe Quays,Sphärenraum Sichere Kais,"Ein Name, der auf 'Sichere Kais' im Sphärenraum hinweist."
Sphere Space Solar Nurseries,Sphärenraum Solar -Kindergärten,"Ein Name, der auf 'Solar -Kindergärten' im Sphärenraum hinweist."
Sphere Space Earthborn Works,Sphärenraum Erdengeborene Werke,"Ein Name, der auf 'Erdengeborene Werke' im Sphärenraum hinweist."
Sphere Space Signal Trust,Sphärenraum Signalvertrauen,"Ein Name, der auf 'Signalvertrauen' im Sphärenraum hinweist."
Sphere Space Free Academies,Sphärenraum Kostenlose Akademien,"Ein Name, der auf 'Kostenlose Akademien' im Sphärenraum hinweist."
Sphere Space Free Summit,Sphärenraum Freier Gipfel,"Ein Name, der auf 'Freier Gipfel' im Sphärenraum hinweist."
Sphere Space Frontier Harborlines,Sphärenraum Frontier Harborlines,"Ein Name, der auf 'Frontier Harborlines' im Sphärenraum hinweist."
Sphere Space Common Homes,Sphärenraum Gemeinsame Häuser,"Ein Name, der auf 'Gemeinsame Häuser' im Sphärenraum hinweist."
Sphere Space Schools Alliance,Sphärenraum Schulen Allianz,"Ein Name, der auf 'Schulen Allianz' im Sphärenraum hinweist."
Sphere Space Grids Commons,Sphärenraum Grids Commons,"Ein Name, der auf 'Grids Commons' im Sphärenraum hinweist."
Sphere Space Balanced Sun,Sphärenraum Ausgeglichene Sonne,"Ein Name, der auf 'Ausgeglichene Sonne' im Sphärenraum hinweist."
Sphere Space Silver Cityworks,Sphärenraum Silver Cityworks,"Ein Name, der auf 'Silver Cityworks' im Sphärenraum hinweist."
Sphere Space Blue Orbitworks,Sphärenraum Blaue Umlaufbahn,"Ein Name, der auf 'Blaue Umlaufbahn' im Sphärenraum hinweist."
Sphere Space Revival Commons,Sphärenraum Revival Commons,"Ein Name, der auf 'Revival Commons' im Sphärenraum hinweist."
Sphere Space Harmonic Hospital,Sphärenraum Harmonisches Krankenhaus,"Ein Name, der auf 'Harmonisches Krankenhaus' im Sphärenraum hinweist."
Sphere Space Human Harborline,Sphärenraum Menschliche Hafenlinie,"Ein Name, der auf 'Menschliche Hafenlinie' im Sphärenraum hinweist."
Sphere Space Deep Nurseries,Sphärenraum Tiefe Kindergärten,"Ein Name, der auf 'Tiefe Kindergärten' im Sphärenraum hinweist."
Sphere Space Silver Academies,Sphärenraum Silber Akademien,"Ein Name, der auf 'Silber Akademien' im Sphärenraum hinweist."
Sphere Space Eternal Cities,Sphärenraum Ewige Städte,"Ein Name, der auf 'Ewige Städte' im Sphärenraum hinweist."
Sphere Space Universal Shore,Sphärenraum Universal Shore,"Ein Name, der auf 'Universal Shore' im Sphärenraum hinweist."
Sphere Space Next Garden,Sphärenraum Nächster Garten,"Ein Name, der auf 'Nächster Garten' im Sphärenraum hinweist."
Sphere Space Balanced Domes,Sphärenraum Ausgeglichene Kuppeln,"Ein Name, der auf 'Ausgeglichene Kuppeln' im Sphärenraum hinweist."
Sphere Space New Grids,Sphärenraum Neue Gitter,"Ein Name, der auf 'Neue Gitter' im Sphärenraum hinweist."
Sphere Space Perennial Ring,Sphärenraum Mehrjähriger Ring,"Ein Name, der auf 'Mehrjähriger Ring' im Sphärenraum hinweist."
Sphere Space Habitat Works,Sphärenraum Lebensraum arbeitet,"Ein Name, der auf 'Lebensraum arbeitet' im Sphärenraum hinweist."
Sphere Space Golden Legacy,Sphärenraum Goldenes Erbe,"Ein Name, der auf 'Goldenes Erbe' im Sphärenraum hinweist."
Sphere Space Interorbital Biospheres,Sphärenraum Interorbitale Biosphären,"Ein Name, der auf 'Interorbitale Biosphären' im Sphärenraum hinweist."
Sphere Space United Cityworks,Sphärenraum United Cityworks,"Ein Name, der auf 'United Cityworks' im Sphärenraum hinweist."
Sphere Space Living Continuum,Sphärenraum Lebendes Kontinuum,"Ein Name, der auf 'Lebendes Kontinuum' im Sphärenraum hinweist."
Sphere Space Balanced Seafront,Sphärenraum Ausgeglichene Küste,"Ein Name, der auf 'Ausgeglichene Küste' im Sphärenraum hinweist."
Sphere Space Harmonic Horizon,Sphärenraum Harmonischer Horizont,"Ein Name, der auf 'Harmonischer Horizont' im Sphärenraum hinweist."
Sphere Space Union Commons,Sphärenraum Union Commons,"Ein Name, der auf 'Union Commons' im Sphärenraum hinweist."
Sphere Space Steady Harborfront,Sphärenraum Stetiger Hafenfront,"Ein Name, der auf 'Stetiger Hafenfront' im Sphärenraum hinweist."
Sphere Space Next Avenue,Sphärenraum Nächste Avenue,"Ein Name, der auf 'Nächste Avenue' im Sphärenraum hinweist."
Sphere Space Perennial Forge,Sphärenraum Mehrjährige Schmiede,"Ein Name, der auf 'Mehrjährige Schmiede' im Sphärenraum hinweist."
Sphere Space Terran Ports,Sphärenraum Terranische Häfen,"Ein Name, der auf 'Terranische Häfen' im Sphärenraum hinweist."
Sphere Space Quays Foundation,Sphärenraum Quays Foundation,"Ein Name, der auf 'Quays Foundation' im Sphärenraum hinweist."
Sphere Space Frontier Terrace,Sphärenraum Grenzterrasse,"Ein Name, der auf 'Grenzterrasse' im Sphärenraum hinweist."
Sphere Space Timeless Garden,Sphärenraum Zeitloser Garten,"Ein Name, der auf 'Zeitloser Garten' im Sphärenraum hinweist."
Sphere Space Steady Campus,Sphärenraum Stetiger Campus,"Ein Name, der auf 'Stetiger Campus' im Sphärenraum hinweist."
Sphere Space Frontier Town,Sphärenraum Grenzstadt,"Ein Name, der auf 'Grenzstadt' im Sphärenraum hinweist."
Sphere Space Harmonic Highways,Sphärenraum Harmonische Autobahnen,"Ein Name, der auf 'Harmonische Autobahnen' im Sphärenraum hinweist."
Sphere Space Biosphere Initiative,Sphärenraum Biosphäre Initiative,"Ein Name, der auf 'Biosphäre Initiative' im Sphärenraum hinweist."
Sphere Space Timeless Blueprints,Sphärenraum Zeitlose Blaupausen,"Ein Name, der auf 'Zeitlose Blaupausen' im Sphärenraum hinweist."
Sphere Space Orbital Ledger,Sphärenraum Orbitalbuch,"Ein Name, der auf 'Orbitalbuch' im Sphärenraum hinweist."
Sphere Space Mesh,Sphärenraum Netz,"Ein Name, der auf 'Netz' im Sphärenraum hinweist."
Sphere Space Agora Foundation,Sphärenraum Agora Foundation,"Ein Name, der auf 'Agora Foundation' im Sphärenraum hinweist."
Sphere Space Human Continuum,Sphärenraum Menschliches Kontinuum,"Ein Name, der auf 'Menschliches Kontinuum' im Sphärenraum hinweist."
Sphere Space Solar Rebirth,Sphärenraum Solar Wiedergeburt,"Ein Name, der auf 'Solar Wiedergeburt' im Sphärenraum hinweist."
Sphere Space Perennial Clinics,Sphärenraum Mehrjährige Kliniken,"Ein Name, der auf 'Mehrjährige Kliniken' im Sphärenraum hinweist."
Sphere Space Steady Arches,Sphärenraum Stetige Bögen,"Ein Name, der auf 'Stetige Bögen' im Sphärenraum hinweist."
Sphere Space Civil Boulevards,Sphärenraum Zivilboulevards,"Ein Name, der auf 'Zivilboulevards' im Sphärenraum hinweist."
Sphere Space Works,Sphärenraum Arbeiten,"Ein Name, der auf 'Arbeiten' im Sphärenraum hinweist."
Sphere Space Interorbital Summits,Sphärenraum Interorbitale Gipfel,"Ein Name, der auf 'Interorbitale Gipfel' im Sphärenraum hinweist."
Sphere Space Earthborn Greens,Sphärenraum Erdengeborene Grüns,"Ein Name, der auf 'Erdengeborene Grüns' im Sphärenraum hinweist."
Sphere Space Deep Dome,Sphärenraum Tiefe Kuppel,"Ein Name, der auf 'Tiefe Kuppel' im Sphärenraum hinweist."
Sphere Space Coast Commons,Sphärenraum Küstenkommons,"Ein Name, der auf 'Küstenkommons' im Sphärenraum hinweist."
Sphere Space Humane Hub,Sphärenraum Humaner Hub,"Ein Name, der auf 'Humaner Hub' im Sphärenraum hinweist."
Sphere Space Silver Biospheres,Sphärenraum Silberbiosphären,"Ein Name, der auf 'Silberbiosphären' im Sphärenraum hinweist."
Sphere Space Habitat Standards,Sphärenraum Lebensraumstandards,"Ein Name, der auf 'Lebensraumstandards' im Sphärenraum hinweist."
Sphere Space Earthborn Guild,Sphärenraum Earthborn Guild,"Ein Name, der auf 'Earthborn Guild' im Sphärenraum hinweist."
Sphere Space Calm Foundry,Sphärenraum Ruhige Gießerei,"Ein Name, der auf 'Ruhige Gießerei' im Sphärenraum hinweist."
Sphere Space Future City,Sphärenraum Zukünftige Stadt,"Ein Name, der auf 'Zukünftige Stadt' im Sphärenraum hinweist."
Sphere Space Pure Heritage,Sphärenraum Reines Erbe,"Ein Name, der auf 'Reines Erbe' im Sphärenraum hinweist."
Sphere Space New Observatories,Sphärenraum Neue Observatorien,"Ein Name, der auf 'Neue Observatorien' im Sphärenraum hinweist."
Sphere Space Universal Institutes,Sphärenraum Universelle Institute,"Ein Name, der auf 'Universelle Institute' im Sphärenraum hinweist."
Sphere Space Open Metropolis,Sphärenraum Offene Metropole,"Ein Name, der auf 'Offene Metropole' im Sphärenraum hinweist."
Sphere Space Secure Museums,Sphärenraum Sichere Museen,"Ein Name, der auf 'Sichere Museen' im Sphärenraum hinweist."
Sphere Space Humane Harbors,Sphärenraum Humane Häfen,"Ein Name, der auf 'Humane Häfen' im Sphärenraum hinweist."
Sphere Space Public Plazas,Sphärenraum Öffentliche Plätze,"Ein Name, der auf 'Öffentliche Plätze' im Sphärenraum hinweist."
Sphere Space Civil Rebirth,Sphärenraum Zivilgeburt,"Ein Name, der auf 'Zivilgeburt' im Sphärenraum hinweist."
Sphere Space United Code,Sphärenraum Vereinigter Code,"Ein Name, der auf 'Vereinigter Code' im Sphärenraum hinweist."
Sphere Space Lane Standards,Sphärenraum Spurstandards,"Ein Name, der auf 'Spurstandards' im Sphärenraum hinweist."
Sphere Space Deep Renaissance,Sphärenraum Tiefe Renaissance,"Ein Name, der auf 'Tiefe Renaissance' im Sphärenraum hinweist."
Sphere Space Stellar Playbooks,Sphärenraum Herausragende Spielbücher,"Ein Name, der auf 'Herausragende Spielbücher' im Sphärenraum hinweist."
Sphere Space Timeless Markets,Sphärenraum Zeitlose Märkte,"Ein Name, der auf 'Zeitlose Märkte' im Sphärenraum hinweist."
Sphere Space Bright Harbours,Sphärenraum Helle Häfen,"Ein Name, der auf 'Helle Häfen' im Sphärenraum hinweist."
Sphere Space Eternal Revival,Sphärenraum Ewige Wiederbelebung,"Ein Name, der auf 'Ewige Wiederbelebung' im Sphärenraum hinweist."
Sphere Space Living Charters,Sphärenraum Lebende Chartas,"Ein Name, der auf 'Lebende Chartas' im Sphärenraum hinweist."
Sphere Space Secure Life,Sphärenraum Sichern Sie das Leben,"Ein Name, der auf 'Sichern Sie das Leben' im Sphärenraum hinweist."
Sphere Space Future Arboretum,Sphärenraum Zukünftige Arboretum,"Ein Name, der auf 'Zukünftige Arboretum' im Sphärenraum hinweist."
Sphere Space Resilient Initiative,Sphärenraum Widerstandsfähige Initiative,"Ein Name, der auf 'Widerstandsfähige Initiative' im Sphärenraum hinweist."
Sphere Space Timeless Clinic,Sphärenraum Zeitlose Klinik,"Ein Name, der auf 'Zeitlose Klinik' im Sphärenraum hinweist."
Sphere Space Lasting District,Sphärenraum Dauerbezirk,"Ein Name, der auf 'Dauerbezirk' im Sphärenraum hinweist."
Sphere Space Shores Network,Sphärenraum Shores -Netzwerk,"Ein Name, der auf 'Shores -Netzwerk' im Sphärenraum hinweist."
Sphere Space Public Shores,Sphärenraum Öffentliche Küste,"Ein Name, der auf 'Öffentliche Küste' im Sphärenraum hinweist."
Sphere Space Interorbital Depot,Sphärenraum Interorbitales Depot,"Ein Name, der auf 'Interorbitales Depot' im Sphärenraum hinweist."
Sphere Space Common Corridor,Sphärenraum Gemeinsamer Korridor,"Ein Name, der auf 'Gemeinsamer Korridor' im Sphärenraum hinweist."
Sphere Space Next Lighthouses,Sphärenraum Nächste Leuchttürme,"Ein Name, der auf 'Nächste Leuchttürme' im Sphärenraum hinweist."
Sphere Space Earthborn Summit,Sphärenraum Earthborn Summit,"Ein Name, der auf 'Earthborn Summit' im Sphärenraum hinweist."
Sphere Space Civil Shores,Sphärenraum Zivilufer,"Ein Name, der auf 'Zivilufer' im Sphärenraum hinweist."
Sphere Space Pure Rings,Sphärenraum Reine Ringe,"Ein Name, der auf 'Reine Ringe' im Sphärenraum hinweist."
Sphere Space Interorbital Factory,Sphärenraum Interorbitale Fabrik,"Ein Name, der auf 'Interorbitale Fabrik' im Sphärenraum hinweist."
Sphere Space Common Meshes,Sphärenraum Gemeinsame Netze,"Ein Name, der auf 'Gemeinsame Netze' im Sphärenraum hinweist."
Sphere Space Global Homes,Sphärenraum Globale Häuser,"Ein Name, der auf 'Globale Häuser' im Sphärenraum hinweist."
Sphere Space Next Endowment,Sphärenraum Nächste Stiftung,"Ein Name, der auf 'Nächste Stiftung' im Sphärenraum hinweist."
Sphere Space Timeless Orbitworks,Sphärenraum Zeitlose Umlaufbahn,"Ein Name, der auf 'Zeitlose Umlaufbahn' im Sphärenraum hinweist."
Sphere Space Secure Lane,Sphärenraum Sichere Spur,"Ein Name, der auf 'Sichere Spur' im Sphärenraum hinweist."
Sphere Space Grids Foundation,Sphärenraum Grids Foundation,"Ein Name, der auf 'Grids Foundation' im Sphärenraum hinweist."
Sphere Space Global Halls,Sphärenraum Globale Hallen,"Ein Name, der auf 'Globale Hallen' im Sphärenraum hinweist."
Sphere Space Eternal Promenade,Sphärenraum Ewige Promenade,"Ein Name, der auf 'Ewige Promenade' im Sphärenraum hinweist."
Sphere Space Pioneer Lane,Sphärenraum Pioneer Lane,"Ein Name, der auf 'Pioneer Lane' im Sphärenraum hinweist."
Sphere Space Secure Coast,Sphärenraum Sichere Küste,"Ein Name, der auf 'Sichere Küste' im Sphärenraum hinweist."
Sphere Space Pioneer Museum,Sphärenraum Pioniermuseum,"Ein Name, der auf 'Pioniermuseum' im Sphärenraum hinweist."
Sphere Space Steady Guild,Sphärenraum Stetige Gilde,"Ein Name, der auf 'Stetige Gilde' im Sphärenraum hinweist."
Sphere Space Eternal Metropolises,Sphärenraum Ewige Metropolen,"Ein Name, der auf 'Ewige Metropolen' im Sphärenraum hinweist."
Sphere Space Perennial Theaters,Sphärenraum Mehrjährige Theater,"Ein Name, der auf 'Mehrjährige Theater' im Sphärenraum hinweist."
Sphere Space Solar Plaza,Sphärenraum Solar Plaza,"Ein Name, der auf 'Solar Plaza' im Sphärenraum hinweist."
Sphere Space Skies Program,Sphärenraum Himmelsprogramm,"Ein Name, der auf 'Himmelsprogramm' im Sphärenraum hinweist."
Sphere Space Interorbital Park,Sphärenraum Interorbital Park,"Ein Name, der auf 'Interorbital Park' im Sphärenraum hinweist."
Sphere Space Deep Bridge,Sphärenraum Tiefe Brücke,"Ein Name, der auf 'Tiefe Brücke' im Sphärenraum hinweist."
Sphere Space Humane Sky,Sphärenraum Humaner Himmel,"Ein Name, der auf 'Humaner Himmel' im Sphärenraum hinweist."
Sphere Space Open Blueprints,Sphärenraum Offene Blaupausen,"Ein Name, der auf 'Offene Blaupausen' im Sphärenraum hinweist."
Sphere Space Terran Protocol,Sphärenraum Terraner Protokoll,"Ein Name, der auf 'Terraner Protokoll' im Sphärenraum hinweist."
Sphere Space Interorbital Hall,Sphärenraum Interorbital Hall,"Ein Name, der auf 'Interorbital Hall' im Sphärenraum hinweist."
Sphere Space Lane Foundation,Sphärenraum Lane Foundation,"Ein Name, der auf 'Lane Foundation' im Sphärenraum hinweist."
Sphere Space Timeless Refuges,Sphärenraum Zeitlose Schweigen,"Ein Name, der auf 'Zeitlose Schweigen' im Sphärenraum hinweist."
Sphere Space Calm Guilds,Sphärenraum Ruhige Gilden,"Ein Name, der auf 'Ruhige Gilden' im Sphärenraum hinweist."
Sphere Space Suns Standards,Sphärenraum Suns Standards,"Ein Name, der auf 'Suns Standards' im Sphärenraum hinweist."
Sphere Space Pioneer Hangar,Sphärenraum Pionier -Hangar,"Ein Name, der auf 'Pionier -Hangar' im Sphärenraum hinweist."
Sphere Space Golden Living,Sphärenraum Goldenes Leben,"Ein Name, der auf 'Goldenes Leben' im Sphärenraum hinweist."
Sphere Space Quiet Arc,Sphärenraum Ruhiger Bogen,"Ein Name, der auf 'Ruhiger Bogen' im Sphärenraum hinweist."
Sphere Space Human Refuge,Sphärenraum Menschliche Zuflucht,"Ein Name, der auf 'Menschliche Zuflucht' im Sphärenraum hinweist."
Sphere Space Prime Frontiers,Sphärenraum Hauptgrenzen,"Ein Name, der auf 'Hauptgrenzen' im Sphärenraum hinweist."
Sphere Space Balanced Exchange,Sphärenraum Ausgeglichener Austausch,"Ein Name, der auf 'Ausgeglichener Austausch' im Sphärenraum hinweist."
Sphere Space Blue Awakening,Sphärenraum Blaues Erwachen,"Ein Name, der auf 'Blaues Erwachen' im Sphärenraum hinweist."
Sphere Space Crest Alliance,Sphärenraum Crest Alliance,"Ein Name, der auf 'Crest Alliance' im Sphärenraum hinweist."
Sphere Space Journeys Trust,Sphärenraum Reisenvertrauen,"Ein Name, der auf 'Reisenvertrauen' im Sphärenraum hinweist."
Sphere Space Future Lab,Sphärenraum Zukünftiges Labor,"Ein Name, der auf 'Zukünftiges Labor' im Sphärenraum hinweist."
Sphere Space Green Cooperative,Sphärenraum Grüne Genossenschaft,"Ein Name, der auf 'Grüne Genossenschaft' im Sphärenraum hinweist."
Sphere Space Human Bridges,Sphärenraum Menschliche Brücken,"Ein Name, der auf 'Menschliche Brücken' im Sphärenraum hinweist."
Sphere Space Orbital Initiatives,Sphärenraum Orbitalinitiativen,"Ein Name, der auf 'Orbitalinitiativen' im Sphärenraum hinweist."
